도서관명,시도명,시군구명,도서관유형,휴관일,운영시작시각,운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자
나눔도서관,대구광역시,남구,작은도서관,매주 일요일,9:00,18:00,15,3000 ,0,0,0,0,대구광역시 남구 중앙대로45길40,,070-8210-9686,,,,35.85421600260996,128.5895407233248,2015-08-31
작은숲영어도서관,대구광역시,남구,작은도서관,"매주 토,일요일",10:00,15:00,20,2000 ,3,0,1,5,대구광역시 남구 봉덕초등길23,,053-290-3334,,,,35.838677183438016,128.59738040377883,2015-08-31
청개구리작은도서관,대구광역시,남구,작은도서관,매주 일요일,9:00,17:00,10,2500 ,0,0,3,7,대구광역시 남구 성당로50길33,,053-650-8438,,,,35.85594571544954,128.57507420906595,2015-08-31
화정도서관,경기도,고양시,공공도서관,"2,4번째 월요일, 국가지정공휴일",7:00,23:00,530,185403,170,5687,7,14,경기도 고양시 덕양구 은빛로 77번길 8,고양시도서관센터,031-8075-9215,4149.3,4580.1,http://www.goyanglib.or.kr,37.637836065990975,126.83710442211019,2015-08-12
행신도서관,경기도,고양시,공공도서관,"1,3번째 월요일, 국가지정공휴일",7:00,23:00,342,152293,130,1680,7,14,경기도 고양시 덕양구 행당로 33번길 25-6,고양시도서관센터,031-8075-9239,3132,2384.3,http://www.goyanglib.or.kr,37.620758975419555,126.82833817678194,2015-08-12
원당도서관,경기도,고양시,공공도서관,"1,3번째 월요일, 국가지정공휴일",7:00,23:00,270,119007,102,3589,7,14,경기도 고양시 덕양구 호국로 790번길 49-9,고양시도서관센터,031-8075-9259,4310,1552.6,http://www.goyanglib.or.kr,37.65629420549736,126.83885919134893,2015-08-12
신원도서관,경기도,고양시,공공도서관,"2,4번째 월요일, 국가지정공휴일",7:00,23:00,170,29612,153,617,7,14,경기도 고양시 덕양구 신원2로 24 제1동,고양시도서관센터,031-8075-9340,14983,3982.89,http://www.goyanglib.or.kr,37.666382852231315,126.88635920873578,2015-08-12
삼송도서관,경기도,고양시,공공도서관,"1,3번째 월요일, 국가지정공휴일",7:00,23:00,110,18330,126,122,7,14,경기도 고양시 덕양구 덕수천1로 73,고양시도서관센터,031-8075-9360,45016,3836.142,http://www.goyanglib.or.kr,37.64886270726925,126.88485389186629,2015-08-12
화정어린이도서관,경기도,고양시,어린이도서관,"1,3번째 월요일, 국가지정공휴일",9:00,18:00,0,99827,35,975,7,14,경기도 고양시 덕양구 화신로 323,고양시도서관센터,031-8075-9299,1002.1,1688.7,http://www.goyanglib.or.kr,37.63283280888214,126.82630289983722,2015-08-12
행신어린이도서관,경기도,고양시,어린이도서관,"2,4번째 월요일, 국가지정공휴일",9:00,18:00,0,100303,28,825,7,14,경기도 고양시 덕양구 소원로181번길 42,고양시도서관센터,031-8075-9278,1050.5,1687.72,http://www.goyanglib.or.kr,37.614790249221585,126.84346572872539,2015-08-12
아람누리도서관,경기도,고양시,공공도서관,"1,3번째 월요일, 국가지정공휴일",9:00,22:00,0,117678,255,2149,7,14,경기도 고양시 일산동구 중앙로 1286 아람누리도서관동,고양시도서관센터,031-8075-9038,54239.4,4457.07,http://www.goyanglib.or.kr,37.66148641166158,126.77445613640077,2015-08-12
마두도서관,경기도,고양시,공공도서관,"2,4번째 월요일, 국가지정공휴일",7:00,23:00,397,182583,164,5605,7,14,경기도 고양시 일산동구 일산로 355,고양시도서관센터,031-8075-9067,36029.3,3756.7,http://www.goyanglib.or.kr,37.66671556838519,126.78205688782967,2015-08-12
백석도서관,경기도,고양시,공공도서관,"1,3번째 월요일, 국가지정공휴일",7:00,23:00,234,148909,156,3631,7,14,경기도 고양시 일산동구 일산로 118,고양시도서관센터,031-8075-9090,4347.7,4030.5,http://www.goyanglib.or.kr,37.64721753428399,126.79362639941422,2015-08-12
풍동도서관,경기도,고양시,공공도서관,"1,3번째 월요일, 국가지정공휴일",9:00,22:00,0,93313,128,1735,7,14,경기도 고양시 일산동구 숲속마을로 108,고양시도서관센터,031-8075-9148,51109.3,1574.13,http://www.goyanglib.or.kr,37.67022045507614,126.79517224734043,2015-08-12
식사도서관,경기도,고양시,공공도서관,"2,4번째 월요일, 국가지정공휴일",7:00,23:00,194,55164,153,1360,7,14,경기도 고양시 일산동구 위시티2로 43-6,고양시도서관센터,031-8075-9190,2400,3775.72,http://www.goyanglib.or.kr,37.67621201175981,126.81597254152055,2015-08-12
대화도서관,경기도,고양시,공공도서관,"1,3번째 월요일, 국가지정공휴일",7:00,23:00,190,129649,150,1974,7,14,경기도 고양시 일산서구 일산로 689,고양시도서관센터,031-8075-9130,3944,3901.82,http://www.goyanglib.or.kr,37.68102184831993,126.7539416736851,2015-08-12
한뫼도서관,경기도,고양시,공공도서관,"2,4번째 월요일, 국가지정공휴일",7:00,23:00,129,133412,167,1655,7,14,경기도 고양시 일산서구 탄중로 284,고양시도서관센터,031-8075-9115,26167,4159.54,http://www.goyanglib.or.kr,37.693557426336135,126.77625932351329,2015-08-12
덕이도서관,경기도,고양시,공공도서관,"1,3번째 월요일, 국가지정공휴일",7:00,23:00,168,51980,150,1164,7,14,경기도 고양시 일산서구 하이파크로 128,고양시도서관센터,031-8075-9320,45821.6,2956.88,http://www.goyanglib.or.kr,37.702949243256036,126.75455412595696,2015-08-12
주엽어린이도서관,경기도,고양시,어린이도서관,"2,4번째 월요일, 국가지정공휴일",9:00,18:00,0,123135,38,1326,7,14,경기도 고양시 일산서구 주엽로 104,고양시도서관센터,031-8075-9168,1500,2049.78,http://www.goyanglib.or.kr,37.668463938692234,126.75650392090039,2015-08-12
햇빛마을작은도서관,경기도,고양시,작은도서관,"1,3,5번째 토요일 매주 일요일 제외한 법정공휴일(일요일,법정공휴일 겹칠경우 휴관)",10:00,18:00,0,19467,0,37,3,7,경기도 고양시 덕양구 충장로 152번길 39 햇빛20단지 관리사무소 2층,햇빛마을20단지 입주자대표회의,031-972-995,,75,http://www.goyanglib.or.kr,37.624831327929456,126.83847402091955,2015-08-12
고양작은도서관,경기도,고양시,작은도서관,"2,4,5번째 토요일 매주 일요일 제외한 법정공휴일(일요일,법정공휴일 겹칠경우 휴관)",10:00,18:00,0,19587,0,55,3,7,경기도 고양시 덕양구 혜음로 19-11 고양동종합복지회관 1층,고양동 주민자치위원회,031-963-4321,,172,http://www.goyanglib.or.kr,37.70251820499019,126.9011952985773,2015-08-12
관산작은도서관,경기도,고양시,작은도서관,"매주 토,일요일 제외한 법정공휴일(일요일,법정공휴일 겹칠경우 휴관)",9:00,18:00,0,23824,0,16,3,7,경기도 고양시 덕양구 통일로 789 관산동주민센터 2층,관산동 주민자치위원회,031-962-1969,,198,http://www.goyanglib.or.kr,37.688013409469754,126.86253572174115,2015-08-12
푸른마을작은도서관,경기도,고양시,작은도서관,"1,3,5번째 토요일 매주 일요일 제외한 법정공휴일(일요일,법정공휴일 겹칠경우 휴관)",10:00,18:00,0,17098,0,25,3,7,경기도 고양시 덕양구 푸른마을로 55 푸른마을6단지 풍림아이원관리사무소 3층,푸른마을6단지 입주자대표회의,031-962-6996,,142,http://www.goyanglib.or.kr,37.71229895930002,126.90531956267112,2015-08-12
화전작은도서관,경기도,고양시,작은도서관,"1,3,5번째 토요일 매주 일요일 제외한 법정공휴일(일요일,법정공휴일 겹칠경우 휴관)",10:00,18:00,0,15968,0,393,3,7,경기도 고양시 덕양구 화랑로 1-1 화전복지회관 2층,화전동 주민자치위원회,02-3159-2266,,100,http://www.goyanglib.or.kr,37.59946902548385,126.87277261609475,2015-08-12
고양윤창작은도서관,경기도,고양시,작은도서관,"1,3,5번째 토요일 매주 일요일 제외한 법정공휴일(일요일,법정공휴일 겹칠경우 휴관)",10:00,18:00,0,8923,0,0,3,7,경기도 고양시 덕양구 동헌로 398-17 윤창아파트 관리동 2층,고양동 윤창아파트 입주자대표회의,070-8843-9633,,110,http://www.goyanglib.or.kr,37.705802950275576,126.89470890591956,2015-08-12
햇빛21작은도서관,경기도,고양시,작은도서관,"1,3,5번째 토요일 매주 일요일 제외한 법정공휴일(일요일,법정공휴일 겹칠경우 휴관)",10:00,18:00,0,7111,0,74,3,7,경기도 고양시 덕양구 화신로 168 햇빛마을21단지 관리동 2층,햇빛마을21단지 입주자대표회의,031-938-9400,,96.5,http://www.goyanglib.or.kr,37.62732203699382,126.84141396657371,2015-08-12
신도작은도서관,경기도,고양시,작은도서관,"1,3,5번째 토요일 매주 일요일 제외한 법정공휴일(일요일,법정공휴일 겹칠경우 휴관)",10:00,18:00,0,7150,0,5,3,7,경기도 고양시 덕양구 삼송로 180 신도동 복지회관 1층,신도동 종합복지회관,02-381-9095,,122.4,http://www.goyanglib.or.kr,37.65314545903405,126.89390845921935,2015-08-12
대덕작은도서관,경기도,고양시,작은도서관,"매주 토,일요일 제외한 법정공휴일(일요일,법정공휴일 겹칠경우 휴관)",9:00,18:00,0,5014,0,50,3,7,경기도 고양시 덕양구 덕은로 34 대덕동 종합복지회관 1층,대덕동 주민자치위원회,070-4260-8805,,118,http://www.goyanglib.or.kr,37.587100745296944,126.87666583536028,2015-08-12
호수공원작은도서관,경기도,고양시,작은도서관,"매주 일,월요일 제외한 법정공휴일(일요일,법정공휴일 겹칠경우 휴관)",10:00,18:00,0,7364,0,1,3,7,경기도 고양시 일산동구 호수로 595 호수공원3주차장 옆동,고양시도서관센터,031-901-2375,,52,http://www.goyanglib.or.kr,37.65384592501277,126.76878140288098,2015-08-12
사리현작은도서관,경기도,고양시,작은도서관,"매주 일,월요일 제외한 법정공휴일(일요일,법정공휴일 겹칠경우 휴관)",10:00,19:00,0,8468,0,0,3,7,경기도 고양시 일산동구 공릉천로 68 동문굿모닝힐 관리동 2층,사리현동 동문굿모닝힐 입주자대표회의,070-8736-5530,,93,http://www.goyanglib.or.kr,37.69918366213712,126.84643619626378,2015-08-12
강촌공원작은도서관,경기도,고양시,작은도서관,"매주 일,월요일 제외한 법정공휴일(일요일,법정공휴일 겹칠경우 휴관)",10:00,19:00,0,3801,0,0,3,7,경기도 고양시 일산동구 강석로 132-1 강촌그린공원내,고양시도서관센터,031-901-6957,,21,http://www.goyanglib.or.kr,37.65333240623597,126.78108064712748,2015-08-12
탄현작은도서관,경기도,고양시,작은도서관,"1,3,5번째 토요일 매주 일요일 제외한 법정공휴일(일요일,법정공휴일 겹칠경우 휴관)",10:00,18:00,0,18395,0,214,3,7,경기도 고양시 일산서구 일현로 140 탄현큰마을 관리사무소 지하1층,탄현큰마을 입주자대표회의,031-915-8875,,168,http://www.goyanglib.or.kr,37.70150613148728,126.76439248051547,2015-08-12
대화마을작은도서관,경기도,고양시,작은도서관,"매주 일,월요일 제외한 법정공휴일(일요일,법정공휴일 겹칠경우 휴관)",10:00,19:00,0,15447,0,85,3,7,경기도 고양시 일산서구 대화1로 61 일산건영휴먼빌5단지 관리동 1층,일신건영휴먼빌 입주자대표회의,031-924-0467,,99,http://www.goyanglib.or.kr,37.67288372217669,126.73539708983522,2015-08-12
노은도서관,대전광역시,유성구,공공도서관,"매월  첫째, 셋째 월요일, 국가지정공휴일",8:00,22:00,212,61538,68,1427,3,14,대전광역시 유성구 노은동로 234번길34(지족동),대전광역시 유성구청,042-601-6610,7523,3355,http://lib.yuseong.go.kr/,36.3814944446,127.320655066,2016-07-25
유성도서관,대전광역시,유성구,공공도서관,"매주 월요일, 국가지정공휴일",8:00,22:00,565,141881,61,8759,3,14,대전광역시 유성구 대덕대로 507-38(가정동),대전광역시 유성구청,042-601-6530,29063,2465.8,http://lib.yuseong.go.kr/,36.3786618252,127.376053385,2016-07-25
진잠도서관,대전광역시,유성구,공공도서관,"매주 월요일, 국가지정공휴일",8:00,22:00,117,60939,68,1237,3,14,대전광역시 유성구 진잠로160번길 19(원내동),대전광역시 유성구청,042-601-6590,29063,2465.8,http://lib.yuseong.go.kr/,36.3031556218,127.319768486,2016-07-25
구즉도서관,대전광역시,유성구,공공도서관,"매주 월요일, 국가지정공휴일",8:00,22:00,271,96457,69,1978,3,14,대전광역시 유성구 와룡로37번길 20(송강동),대전광역시 유성구청,042-601-6510,4967,1496,http://lib.yuseong.go.kr/,36.4294701219,127.380446706,2016-07-25
구암도서관,대전광역시,유성구,공공도서관,"매주 월요일, 국가지정공휴일",8:00,22:00,138,30478,61,0,3,14,대전광역시 유성구 유성대로626번길 57(구암동),대전광역시 유성구청,042-601-6630,,582.1,http://lib.yuseong.go.kr/,36.3492891257,127.330268418,2016-07-25
동화마을작은도서관,대전광역시,유성구,작은도서관,매주 일요일,9:00,17:00,20,19824,0,0,2,7,대전광역시 유성구 관평2로 43(관평동),동화마을 작은도서관 운영위원회,042-935-9738,,288,,36.4228012625,127.38946853,2016-07-25
온천마을작은도서관,대전광역시,유성구,작은도서관,"매주 월요일, 일요일",10:00,17:00,20,11767,0,0,2,7,대전광역시 유성구 문화원로 46(장대동),온천마을 작은도서관 운영위원회,042-823-3918,,196,,36.3598536732,127.34083529,2016-07-25
자운마을작은도서관,대전광역시,유성구,작은도서관,"매주 월요일, 일요일",10:00,17:00,20,7761,0,0,2,7,대전광역시 유성구 자운로 97번길 470(신봉동),자운마을 작은도서관 운영위원회,070-7799-5678,,99.4,,36.4144173224,127.338451162,2016-07-25
희망마을작은도서관,대전광역시,유성구,작은도서관,"매주 월요일, 일요일",10:00,17:00,20,10476,0,0,2,7,대전광역시 유성구 유성대로 680번길 126(구암동),희망마을 작은도서관 운영위원회,070-8861-7279,400,334.4,,36.3523802065,127.337349107,2016-07-25
신성마을작은도서관,대전광역시,유성구,작은도서관,"매주 월요일, 일요일",10:00,17:00,20,14424,0,0,2,7,대전광역시 유성구 신성남로 27(신성동),신성마을 작은도서관 운영위원회,070-4200-6786,18362,181.1,,36.3864498837,127.348057712,2016-07-25
송강마을작은도서관,대전광역시,유성구,작은도서관,"매주 월요일, 일요일",10:00,17:00,20,12713,0,0,2,7,대전광역시 유성구 송강로 42번길 34(송강동),송강마을 작은도서관 운영위원회,070-4404-3030,19703,166.2,,36.4350095845,127.384100511,2016-07-25
영어마을도서관,대전광역시,유성구,작은도서관,"매주 월요일, 일요일",10:00,17:00,20,5075,0,0,2,7,대전광역시 유성구 지족동로 145(지족동),유성구어린이영어마을 작은도서관 운영위원회,042-601-6962,2594,234.1,,36.3868088587,127.307904061,2016-07-25
관평도서관,대전광역시,유성구,공공도서관,"매주 월요일, 국가지정공휴일",8:00,22:00,68,12282 ,53,0,3,14,대전광역시 유성구 테크노4로 131(관평동),충남대학교 산학협력단(민간위탁),042-716-0350,808.8,1755.5,http://www.gplib.or.kr/,36.423183261,127.388391045,2016-07-25
삼국유사군위도서관,경상북도,군위군,공공도서관,"매주 월요일, 법정공휴일, 특별한 사유로 도서관장이 지정한 날",09:00,18:00,510,73205,106,6683,5,14,경상북도 군위군 군위읍 군청로 175,삼국유사군위도서관,054-382-0528,5382,2205,www.gunwilib.or.kr,36.239461,128.572527,2016-06-20
꽃바위작은도서관,울산광역시,동구,작은도서관,월요일,11:00,18:00,0,18890 ,0,497,3,14,울산광역시 동구 문현3길 6(꽃바위문화관 1층),울산광역시동구청,052-209-4337,,216,http//library.donggu.ulsan.kr,35.48705830574148,129.41126358773167,2015-08-31
화정작은도서관,울산광역시,동구,작은도서관,월요일,11:00,18:00,0,15625 ,0,717,3,14,울산광역시 동구 대송로 140(화정주민센터 1층),울산광역시동구청,052-209-3950,,107.8,http//library.donggu.ulsan.kr,35.495867111566,129.42258459498342,2015-08-31
전하작은도서관,울산광역시,동구,작은도서관,월요일,11:00,18:00,0,17909 ,0,721,3,14,울산광역시 동구 진성8길 91(바드래문화관 1층),울산광역시동구청,052-209-3936,,336,http//library.donggu.ulsan.kr,35.50935529423941,129.4293240951313,2015-08-31
남목작은도서관,울산광역시,동구,작은도서관,월요일,11:00,18:00,0,15795 ,0,838,3,14,울산광역시 동구 방어진순환도로 1170(남목1동주민센터 2층),울산광역시동구청,052-209-3947,,178,http//library.donggu.ulsan.kr,35.53928725525364,129.4207550799934,2015-08-31
동부도서관,울산광역시,동구,구민도서관,월요일,9:00,22:00,1002 ,231651 ,305,38582 ,5,14,울산광역시 동구 봉수로 505,울산광역시강북교육청,052-241-2300,"14,076","3,375",https://www.usdl.or.kr/main/main.htm,35.528204155461076,129.42507342391687,2015-08-01
영양공공도서관,경상북도,영양군,공공도서관,매주월요일  국가지정공휴일,9:00,18:00,367,83974 ,271,5091 ,5,14,경상북도 영양군 영양읍 팔수로 538,경상북도 영양교육청,054-683-2829,,,www.yylib.go.kr,36.661005,129.111181,2015-09-01
수비면 작은도서관,경상북도,영양군,작은도서관,매주토요일 매주월요일국가지정공휴일,9:00,18:00,5,2050 ,0,43,3,7,경상북도 영양군 수비면 뒷골길 16-4,경상북도 영양군청,054-683-3600,,,,36.766102,129.203631,2015-09-01
등빛도서관,서울특별시,강서구,공공도서관,매월마지막주 월요일,09:00,22:00,386,44182 ,101,1839,5,14,서울특별시 강서구 강서로62길 48,학교법인세민학원,02-3664-6990,948,"2,281",http://lib.gangseo.seoul.kr,37.5615942,126.8367344,2016-05-31
곰달래도서관,서울특별시,강서구,공공도서관,월요일,09:00,22:00,70,33884 ,93,649,5,14,서울특별시 강서구 강서로5길 50,학교법인세민학원,02-2065-3786,"3,210","1,641",http://lib.gangseo.seoul.kr,37.529061,126.8462943,2016-05-31
강서영어도서관,서울특별시,강서구,공공도서관,월요일,09:00,18:00,177,23805 ,40,858,5,14,서울특별시 강서구 곰달래로57가길 26,학교법인세민학원,02-2061-2270,"3,278",541,http://lib.gangseo.seoul.kr,37.5345776,126.858419,2016-05-31
푸른들청소년도서관,서울특별시,강서구,공공도서관,월요일,09:00,22:00,103,46945 ,51,498,5,14,서울특별시 강서구 강서로45다길 71,학교법인세민학원,02-2691-1630,436,707,http://lib.gangseo.seoul.kr,37.5446502,126.8329898,2016-05-31
길꽃어린이도서관,서울특별시,강서구,공공도서관,월요일,09:00,22:00,200,45576 ,49,585,5,14,서울특별시 강서구 금낭화로24길 5,영신교회,02-2663-4764,669,757,http://lib.gangseo.seoul.kr,37.5786732,126.8116303,2016-05-31
우장산숲속도서관,서울특별시,강서구,공공도서관,월요일,09:00,22:00,166,31523 ,28,279,5,14,서울특별시 강서구 우현로 34,영신교회,02-2696-6689,"1,653",601,http://lib.gangseo.seoul.kr,37.5481777,126.8396835,2016-05-31
